Membership No  Date Joined  Active  
    25699      2018-3-13    no    
    19317      2016-7-17    no    
    40465      2015-12-11   no    
    35038      2019-3-7     no    
    48249      2017-2-7     no    
    46720      2017-4-3     no    
    94609      2019-5-10    no    
    42935      2016-1-17    no    
    50795      2017-3-25    no    
    48757      2019-2-12    no    
    10685      2017-10-13   no    
    81686      2016-6-9     no    
    33256      2017-10-6    no    
    52147      2020-8-13    no    
    51705      2018-8-7     no    
