Membership No  Date Joined  Active  
    60437      2018-6-1     no    
    95925      2019-1-8     no    
    55428      2015-1-6     no    
    64888      2015-3-13    no    
    76007      2019-6-8     no    
    61974      2020-6-20    no    
    75357      2019-5-18    no    
    33114      2018-5-24    no    
    95961      2018-4-16    no    
    71777      2015-9-1     no    
    42496      2015-9-10    no    
    69097      2019-10-25   no    
    74670      2016-7-11    no    
    67793      2017-1-17    no    
    46153      2020-11-24   no    
